BCI-AV#,English,POS,Derivation - explanation,BCI-AV#,POS,Derivation - explanation svenska ,Swedish,BCI-AV#,Norwegian,BCI-AV#,Finnish,BCI-AV#,Hungarian,BCI-AV#,German,BCI-AV#,Dutch,BCI-AV#,Afrikaans,BCI-AV#,Russian,BCI-AV#,Latvian,BCI-AV#,Polish,BCI-AV#,French,BCI-AV#,Spanish,BCI-AV#,Portugese - draft,BCI-AV#,Italian - draft,BCI-AV#,Danish - draft
15427,"mash,crush,squeeze,squash_(food)-(to)",RED,"(mash,mush,pulp_(food) + action indicator: to crush food)",15427,RED,"(mash,mush,pulp_(food) + action indicator: to crush food)",mosa,15427,mose,15427,"soseuttaa, puristaa",15427,"pépesíteni, szétmorzsolni, szétnyomkodni (ételt)",15427,"zerstampfen, stampfen, zerquetschen",15427,"fijnstampen, malen, pureren",15427,"pulp, maal, stamp (om te)",15427,"раздавливать, разминать",15427,"samīcīt, saspiest",15427,"ściskać, miażdżyć, kruszyć, rozdrabniać (np. jedzenie)",15427,"écraser, broyer",15427,"hacer puré, aplastar",15427,moer,15427,schiacciare,15427,moser
15428,"mask,false_face",YELLOW,"(face + fantasy,phantasy,imagination,illusion)",15428,YELLOW,"(face + fantasy,phantasy,imagination,illusion)",ansiktsmask,15428,ansiktsmaske,15428,"naamio, naamari",15428,"álarc, maszk",15428,Maske,15428,masker,15428,masker,15428,маска,15428,"maska, karnevāla maska",15428,"maska (sztuczna twarz, przebranie)",15428,masque,15428,máscara,15428,máscara,15428,maschera,15428,"maske, masker"
15429,masturbation,YELLOW,(genitals + to touch + pleasure),15429,YELLOW,(genitals + to touch + pleasure),onani,15429,"masturbasjon, onani",15429,"masturbointi, itsetyydytys",15429,"maszturbáció, maszturbálás",15429,"Masturbation, Onanie, Selbstbefriedigung",15429,masturbatie,15429,masturbasie,15429,мастурбация,15429,masturbācija,15429,masturbacja,15429,masturbation,15429,masturbación,15429,masturbação,15429,masturbazione,15429,"onani, onanere"
15430,match,YELLOW,(linear thing + fire + thing indicator),15430,YELLOW,(linear thing + fire + thing indicator),tändsticka,15430,"fyrstikk, lunte",15430,tulitikku,15430,gyufa,15430,"Zündholz, Streichholz",15430,lucifer,15430,vuurhoutjie,15430,спичка,15430,sērkociņš,15430,zapałka,15430,allumette,15430,partido,15430,fósforos,15430,fiammifero,15430,"tændstik, tændstikker"
15431,"material,raw_material,stuff",YELLOW,"(thing + earth [half-sized]: thing that you get from the earth, i.e., raw material. The symbol is also used for material in a general sense.)  - Character (superimposed)",15431,YELLOW,"(thing + earth [half-sized]: thing that you get from the earth, i.e., raw material. The symbol is also used for material in a general sense.)  - Character (superimposed)",material,15431,materiale,15431,"materiaali, aine",15431,"anyag, nyersanyag",15431,Material,15431,materiaal,15431,materiaal (rou),15431,материал,15431,"materiāls, izejmateriāls",15431,"materiał, surowiec",15431,matière,15431,material (en crudo),15431,,15431,materiale,15431,"materiale, stof"
15432,"mathematics,arithmetic,math_(2)",YELLOW,(science + digits_(computer): science of numbers)  - Character (superimposed) SYMBOL SYNONYM,15432,YELLOW,(science + digits_(computer): science of numbers)  - Character (superimposed) SYMBOL SYNONYM,matematik (2),15432,matematikk (2),15432,matematiikka,15432,"matematika, matek",15432,"Mathematik, Arithmetik, Rechnen, Mathe (2)",15432,"wiskunde, rekenen (2)",15432,"wiskunde, rekenkunde (2)",15432,математика (2),15432,"matemātika, aritmētika (2)",15432,matematyka (2),15432,"mathématiques, arithmétique (science)_(2)",15432,matemáticas (2),15432,matemática,15432,"matematica, aritmetica",15432,matematik
15433,maturation,YELLOW,(to advance + adult: advancing toward adulthood),15433,YELLOW,(to advance + adult: advancing toward adulthood),mognad,15433,modning,15433,kypsyminen,15433,"érés, megérés",15433,Reifung,15433,groei (persoon),15433,groei (persoon),15433,"зрелость, созревание",15433,"briedums, nobriešana",15433,dojrzewanie,15433,maturation,15433,maduración,15433,maturidade,15433,maturazione,15433,modning
15434,matzo,YELLOW,(bread + low: unleavened bread eaten on Passover),15434,YELLOW,(bread + low: unleavened bread eaten on Passover),"knäckebröd, tunnbröd (etc)",15434,knekkebrød (o.l.),15434,matsa-leipä,15434,"pászka, macesz",15434,"Matze, ungesäuertes Brot",15434,"ongedesemd brood, matze",15434,matse (ongesuurde brood),15434,"лаваш, маца, хлебец",15434,maca,15434,maca,15434,pain azyme,15434,matzá,15434,,15434,matzo (pane ebraico non lievitato),15434,"usyret brød, knækkebrød"
15435,May,YELLOW,(month + 5: fifth month of the year),15435,YELLOW,(month + 5: fifth month of the year),maj,15435,mai,15435,toukokuu,15435,május,15435,Mai,15435,mei,15435,Mei,15435,май,15435,maijs,15435,maj,15435,mai,15435,mayo,15435,Maio,15435,Maggio,15435,maj
15436,possibility,YELLOW,"(being_(state_of) + what,question_mark: expression that indicates doubt or uncertainty)",15436,YELLOW,"(being_(state_of) + what,question_mark: expression that indicates doubt or uncertainty)",möjlighet,15436,mulighet,15436,mahdollisuus,15436,lehetőség,15436,Möglichkeit,15436,mogelijkheid,15436,moontlikheid,15436,возможность,15436,"varbūt, iespējams",15436,możliwość,15436,possibilité,15436,posibilidad,15436,possibilidade,15436,possibilità,15436,mulighed
15437,congratulate-(to),RED,(congratulations + action indicator),15437,RED,(congratulations + action indicator),"gratulera, lyckönska",15437,"gratulere, lykkønske",15437,onnitella,15437,gratulálni,15437,"gratulieren, beglückwünschen",15437,"gelukwensen, feliciteren",15437,geluk wens (om te),15437,поздравлять,15437,apsveikt,15437,gratulować,15437,féliciter,15437,felicitar,15437,felicitar,15437,congratularsi,15437,"(at) gratulere, lykønske"
15438,meal,YELLOW,(group of + food: group of foods served and eaten in a single sitting),15438,YELLOW,(group of + food: group of foods served and eaten in a single sitting),måltid,15438,måltid,15438,ateria,15438,étkezés,15438,"Mahlzeit, Essen, Mahl",15438,maaltijd,15438,maaltyd,15438,"еда, приём пищи",15438,ēdiens,15438,posiłek,15438,repas,15438,comida,15438,refeição,15438,pasto,15438,måltid
15439,"mean,cruel",GREEN,(feeling + sharp + description indicator: sharp or “cutting” in one’s manner),15439,GREEN,(feeling + sharp + description indicator: sharp or “cutting” in one’s manner),"elak, ond",15439,"ond, grusom",15439,"ilkeä, häijy, julma",15439,"gonosz, kegyetlen, komisz",15439,"gemein, grausam, böse",15439,"gemeen, vals, wreed",15439,"gemeen, wreed, vals",15439,злой,15439,"negodīgs, ļauns",15439,"podły, okrutny",15439,"méchant, cruel",15439,"miserable, cruel",15439,cruel,15439,"abietto, crudele",15439,"ond, grusom, gemen"
15440,"mean,signify-(to)",RED,(meaning + action indicator),15440,RED,(meaning + action indicator),betyda,15440,"mene, bety",15440,"tarkoittaa, merkitä",15440,"jelent, jelez, kifejez",15440,bedeuten,15440,betekenen,15440,"aandui, beteken (om te)",15440,значить,15440,"domāts, nozīmēt",15440,"znaczyć, oznaczać",15440,signifier,15440,"significar, querer decir",15440,significar,15440,significare,15440,mener
15441,"meaning,sense,significance",YELLOW,(to think + to say + to write: significance the mind attaches to what is spoken or written)  - Character (superimposed),15441,YELLOW,(to think + to say + to write: significance the mind attaches to what is spoken or written)  - Character (superimposed),betydelse,15441,"betydning, mening",15441,merkitys,15441,"jelentés, értelem, jelentőség, fontosság",15441,"Bedeutung, Sinn, Sinngehalt, Signifikanz",15441,betekenis,15441,"betekenis, sin, beduidend",15441,значение,15441,"nozīme, jēga, nozīmīgums",15441,znaczenie,15441,signification,15441,significado,15441,significado,15441,"significato, senso",15441,betydning
15442,measure-(to),RED,(measurement + action indicator),15442,RED,(measurement + action indicator),mäta,15442,måle,15442,"mitata, arvioida",15442,"mérni, megmérni",15442,"messen, abmessen",15442,meten,15442,meet (om te),15442,измерять,15442,mērīt,15442,"mierzyć, odmierzać",15442,mesurer,15442,medir,15442,medir,15442,misurare,15442,"måler, måle"
15443,"measurement,measure",YELLOW,"(length,longness + shortness_(ditance,lenght): combination of long and short)  - Character (superimposed - combined)",15443,YELLOW,"(length,longness + shortness_(ditance,lenght): combination of long and short)  - Character (superimposed - combined)","mått, längdmått",15443,"mål (lengde), lengdemål",15443,"mitta, mittaus",15443,"mérce, méret, mérés, mérték",15443,Abmessung,15443,"afmeting, maat",15443,mate,15443,измерение,15443,"mērījums, izmērs",15443,"miara, linijka (1)",15443,mesure (longueur),15443,medida,15443,medição,15443,misura,15443,mål
15444,meat,YELLOW,(food + animal: food that comes from an animal),15444,YELLOW,(food + animal: food that comes from an animal),kött,15444,kjøtt,15444,"liharuoka, liha",15444,hús,15444,Fleisch,15444,vlees,15444,vleis,15444,мясо,15444,gaļa,15444,mięso,15444,viande,15444,carne,15444,carne,15444,carne,15444,"kød, kød/fisk"
15445,meatball,YELLOW,(meat + ball: meat shaped into a ball),15445,YELLOW,(meat + ball: meat shaped into a ball),köttbulle,15445,kjøttbolle,15445,lihapyörykkä,15445,húsgombóc,15445,"Frikadelle, Fleischklößchen",15445,gehaktbal,15445,frikkadel,15445,"тефтель, биточек",15445,gaļas bumbiņa,15445,"klops, klopsik (kulka z mięsa)",15445,boulette de viande,15445,albóndiga,15445,almôndega,15445,polpetta,15445,"kødbolle, frikadelle"
15446,"medical,medically",GREEN,"(medicine,medical_practice + description indicator)",15446,GREEN,"(medicine,medical_practice + description indicator)","medicinsk, sjuk-",15446,medisinsk,15446,lääketieteellinen,15446,"egészségügyi, orvosi, gyógyászati",15446,"medizinisch, ärztlich",15446,medisch,15446,mediese,15446,медицинский,15446,"medicīnisks, medicīniski",15446,"medyczny, lekarski",15446,médical,15446,"médico, de medicina",15446,clínico,15446,medico,15446,"medicinsk, lægelig"
15447,medical_insurance,YELLOW,(insurance + medical: protection against unpredictable future medical expense),15447,YELLOW,(insurance + medical: protection against unpredictable future medical expense),sjukförsäkring,15447,sykeforsikring,15447,sairausvakuutus,15447,"egészségügyi biztosítás, egészségbiztosítás",15447,Krankenversicherung,15447,ziektekostenverzekering,15447,siekefonds,15447,медицинское страхование,15447,veselības apdrošināšanas polise,15447,"ubezpieczenie zdrowotne, medyczne",15447,assurance médicale,15447,seguro médico,15447,seguro médico,15447,assicurazione medica,15447,sygesikring
15448,"medicine,medication",YELLOW,(chemical product + medical),15448,YELLOW,(chemical product + medical),medicin,15448,medisin,15448,lääke,15448,"gyógyszer, orvosság",15448,"Medizin, Arznei, Medikament, Arzneimittel",15448,"medicijn, geneesmiddel",15448,"medisyne, geneesmiddel",15448,лекарство,15448,"zāles, medikamenti",15448,"lek, lekarstwo",15448,médicament,15448,medicina,15448,medicamentos,15448,"medicine, medicazione",15448,medicin
15449,"meet,encounter,see-(to)",RED,"(meeting,encounter + action indicator)",15449,RED,"(meeting,encounter + action indicator)","möta, träffa",15449,"treffe, møte",15449,"tavata, kohdata",15449,"találkozni, összetalálkozni",15449,"zusammentreffen, treffen, begegnen, sich treffen, sich begegnen",15449,ontmoeten,15449,ontmoet (om te),15449,встречать(ся),15449,"satikt, satikties, saredzēties",15449,"spotkać się, zobaczyć się z kimś",15449,rencontrer,15449,"encontrar, encontrarse",15449,encontrar-se,15449,"incontrare, incontrarsi",15449,"møder, mødes"
15450,"meeting,assembly,conference",YELLOW,(gathering + discussion),15450,YELLOW,(gathering + discussion),"konferens, sammanträde",15450,"konferanse, debattmøte",15450,"kokous, konferenssi",15450,"találkozó, értekezlet, megbeszélés, konferencia",15450,"Versammlung, Konferenz",15450,"vergadering, conferentie, overleg",15450,"vergadering, konferensie, byeenkoms",15450,"конференция, собрание",15450,"sapulce, sanāksme, asambleja, konference",15450,"zgromadzenie, konferencja (spotkanie+ mowa+wymiana)",15450,"réunion, rencontre, meeting, forum",15450,"reunión, conferencia",15450,conferência,15450,"conferenza, assemblea",15450,"konference, møde"
15451,Megillah_(Book_of_Esther),YELLOW,(pictograph: symbol suggests a scroll on one post)  - Character,15451,YELLOW,(pictograph: symbol suggests a scroll on one post),megillah (Israel),15451,megillah (Israel),15451,"Esterin kirja, Megila",15451,Megilla (héber),15451,boekrol,15451,megillah (Joods),15451,Megillah,15451,"свиток, мегилла (Израиль)",15451,"Megila (Esteres grāmata, Izraēla)",15451,Megilla (Księga Estery) hebr.,15451,"livre d'Esther, Magila",15451,Megillah (Libro de Esther),15451,,15451,megillah (unico libro delle scritture ove non è menzionato Dio),15451,megillah
15452,melon,YELLOW,"(pictograph: fruit with stem [modification], showing thick rind)  - Character",15452,YELLOW,"(pictograph: fruit with stem [modification], showing thick rind)  - Character",melon,15452,melon,15452,melooni,15452,görögdinnyel,15452,Melone,15452,"meloen, watermeloen",15452,spanspek,15452,"дыня, арбуз",15452,melone,15452,melon,15452,melon,15452,melón,15452,melão,15452,melone,15452,"melon, vandmelon"
15453,menopause,YELLOW,(end + menstruation),15453,YELLOW,(end + menstruation),klimakteriet,15453,"klimakteriet, menstruasjonsopphør",15453,vaihdevuodet,15453,"menopauza, klimax, klimaktérium",15453,"Menopause, Wechseljahre",15453,menopauze,15453,menopouse,15453,менопауза,15453,menopauze,15453,menopauza,15453,ménopause,15453,menopausia,15453,menopausa,15453,menopausa,15453,menopause
15454,menorah,YELLOW,(pictograph: symbol suggests the nine branched candelabra used on Chanukah)  - Character,15454,YELLOW,(pictograph: symbol suggests the nine branched candelabra used on Chanukah)  - Character,menorah (Israel),15454,menorah (Israel),15454,menora,15454,"menóra, kilencágú gyertyatartó (Izrael)",15454,menorah,15454,menorah (Joods),15454,menorah,15454,"менора, восьмивечник (Израиль)",15454,menora,15454,menora (hebr),15454,ménorah (chandelier juif),15454,menorah,15454,,15454,menorah (candelabro a sette bracci),15454,"menorah, lysestage"
15455,"menstruation,menstrual_period,period",YELLOW,(liquid + uterus + month),15455,YELLOW,(liquid + uterus + month),"mens, menstruation",15455,menstruasjon,15455,kuukautiset,15455,"menstruáció, havivérzés, havi ciklus, női ciklus",15455,"Menstruation, Periode, Regel",15455,"maandstonden, menstruatie",15455,"maandstonde, menstruasie",15455,менструация,15455,"mēnešreizes, menstruācija",15455,"menstruacja, okres, miesiączka",15455,menstruation,15455,"menstruación, período menstrual",15455,menstruação,15455,"mestruazioni, periodo mestruale",15455,menstruation
15456,"mental,intellectual,rational,thinking",GREEN,(mind + description indicator),15456,GREEN,(mind + description indicator),"intellektuell, tänkande, mental",15456,"intellektuell, tenkende, mental",15456,"henkinen, älyllinen",15456,"értelmi, szellemi, intellektuális, észbeli",15456,"geistig, seelisch, intellektuell, rational",15456,verstandelijk,15456,"verstandelik, intellektuele, rasionele, denke",15456,"умственный, мыслительный",15456,"garīgs, intelektuāls, racionāls, domājošs",15456,"umysłowy, intelektualny, psychiczny",15456,"mental, intellectuel, rationnel",15456,"mental, intelectual, racional",15456,intelectual,15456,"mentale, intellettuale, razionale, pensiero",15456,intellektuelt
15457,"disabled,handicapped_(intellectually,mentally)_(OLD)",GREEN,"(limit(s),limitation_(OLD) + mind + description indicator: having limits to one's mental abilities)  SUPERSEDED SYNONYM  See disabled,impaired,handicapped_(intellectually,mentally) 25994",15457,GREEN,"(limit(s),limitation_(OLD) + mind + description indicator: having limits to one's mental abilities)  SUPERSEDED SYNONYM  See disabled,impaired,handicapped_(intellectually,mentally) 25994","förståndshandikappad, utvecklingsstörd (FD)",15457,psykisk utviklingshemmet (OLD),15457,kehitysvammainen (vanha),15457,értelmileg akadályozott (régi jelkép),15457,geistig behindert (ALT),15457,"verstandelijke beperking, mentale handicap (OUD)",15457,verstandelik gestrem (OUD),15457,умственно отсталый (СТАРОЕ зн),15457,"invalīds, cilvēks ar īpašām vajadzībām (novec.)",15457,niepełnosprawny intelektualnie (stare),15457,handicapé mental (ancien),15457,discapacitado (intelectual o mental) (ANTIGUO),15457,deficiência mental,15457,handicap mentale,15457,psykisk udviklingshæmmet
15458,"merry-go-round,carousel",YELLOW,(to circle + happy + thing indicator: thing to enjoy by going around and around),15458,YELLOW,(to circle + happy + thing indicator: thing to enjoy by going around and around),karusell,15458,karusell,15458,karuselli,15458,"körhinta, ringlispíl",15458,Karussell,15458,draaimolen,15458,mallemeule,15458,карусель,15458,karuselis,15458,karuzela,15458,manège,15458,"tiovivo, carrusel, calesita",15458,carrossel,15458,"giostra, carosello",15458,"karusel, karussel"
15459,metal,YELLOW,(material + metal_bar),15459,YELLOW,(material + metal_bar),metall,15459,metall,15459,metalli,15459,"fém, fémből való",15459,Metall,15459,metaal,15459,metaal,15459,металл,15459,metāls,15459,metal (dowolny),15459,métal,15459,metal,15459,metal,15459,metallo,15459,metal
15460,metaphor,YELLOW,"(mouth [modification, up in the sky] + flower [modification, longer stem] + earth [half-sized] (combination): ""flowery speech"", a signal that what follows should not be taken literally)  - Character (superimposed - modified - combined)",15460,YELLOW,"(mouth [modification, up in the sky] + flower [modification, longer stem] + earth [half-sized] (combination): ""flowery speech"", a signal that what follows should not be taken literally)  - Character (superimposed - modified - combined)","bildlig betydelse, metafor, liknelse (allmän)",15460,"metafor, billedlig betydning",15460,"kuvaannollinen ilmaus, vertaus, kielikuva",15460,"hasonlat, szókép, metafóra",15460,Metapher,15460,metafoor,15460,metafoor,15460,метафора,15460,metafora,15460,"metafora, przenośnia",15460,métaphore,15460,metáfora,15460,metáfora,15460,metafora,15460,"metafor, billedligt udtryk"
15461,mezuzah,YELLOW,(part of + Torah + door),15461,YELLOW,(part of + Torah + door),mezuzah (Israel),15461,mezuzah (Israel),15461,mezuza,15461,mezuza (héber),15461,mezuzah,15461,mezuzah (Joods),15461,mezuzah,15461,мезуза (Израиль),15461,mezuza (Izraēla),15461,mezuza (hebr),15461,mezouzah,15461,mezuzá,15461,,15461,mezuzah (pergamena sacra),15461,mezuzah
15462,microwave-(to),RED,(microwave oven + action indicator),15462,RED,(microwave oven + action indicator),"använda mikrovågsugn, mikra",15462,"bruke mikrobølgeovn, mikre",15462,"käyttää mikroaaltouunia, valmistaa ruokaa mikroaaltouunisssa",15462,"mikrohullámú sütőben sütni, mikrózni",15462,in der Mikrowelle zubereiten,15462,"koken (microgolfoven (Vl)), koken (magnetron (Nl))",15462,mikrogolf (om te),15462,передавать микроволны,15462,mikroviļņu pārraide,15462,gotować w mikrofalówce,15462,cuire au four micro-ondes,15462,cocinar con microondas,15462,microondas,15462,forno a microonde,15462,bruger mikroovn
15463,microwave_oven,YELLOW,(enclosure + electromagnetic radiation)  - Character (superimposed),15463,YELLOW,(enclosure + electromagnetic radiation)  - Character (superimposed),"mikrovågsugn, mikro",15463,mikrobølgeovn,15463,mikroaaltouuni,15463,"mikrohullámú sütő, mikró",15463,"Mikrowellenherd, Mikrowelle",15463,"magnetron (Nl), microgolfoven",15463,mikrogolf oond,15463,микроволновая печь,15463,mikroviļņu krāsns,15463,"kuchenka mikrofalowa, mikrofalówka",15463,four micro-ondes,15463,horno microondas,15463,forno do microondas,15463,forno a microonde,15463,mikrobølgeovn
15464,"middle,centre",YELLOW,"(enclosure + pointer, to centre)  - Character (superimposed - pointer)",15464,YELLOW,"(enclosure + pointer, to centre)  - Character (superimposed - pointer)",mitt,15464,"midten, sentrum",15464,"keskus, keskusta",15464,"közép, központ, közepe valaminek, centrum",15464,"Mitte, mittlerer Teil",15464,midden,15464,middel,15464,"средина, центр",15464,"vidus, centrs",15464,"środek, centrum",15464,"centre, milieu",15464,medio,15464,meio,15464,"in mezzo, centro",15464,"midte, centrum, mellem"
15465,midsummer,YELLOW,(day + most + sun),15465,YELLOW,(day + most + sun),midsommar,15465,midtsommer,15465,juhannus,15465,"nyárközép, nyár közepe",15465,Mittsommer,15465,midzomer,15465,midsomer,15465,день солнцестояния,15465,vasaras saulgrieži,15465,"Noc Świętojańska, przesilenie letnie, Noc Kupały",15465,"milieu de l'été, plein été",15465,pleno verano,15465,solstício do verão,15465,cuore dell'estate,15465,midsommer
15466,military_plane,YELLOW,(airplane + war),15466,YELLOW,(airplane + war),militärplan,15466,militærfly,15466,sotilaslentokone,15466,katonai / hadi repülőgép,15466,Militärflugzeug,15466,"militair vliegtuig, legervliegtuig",15466,militêre vliegtuig,15466,военный самолет,15466,miltāra lidmašīna,15466,samolot wojskowy,15466,avion militaire,15466,avión militar,15466,plano militar,15466,aereo militare,15466,militærfly
15467,military_reserve_duty,YELLOW,(limited time + soldier: service as a soldier for a limited time only),15467,YELLOW,(limited time + soldier: service as a soldier for a limited time only),militärtjänst,15467,militærtjeneste,15467,asepalvelu,15467,tartalékos katonai szolgálat,15467,Wehrpflicht,15467,dienstplicht,15467,diensplig,15467,воинская служба,15467,militārais rezerves dienests,15467,"rezerwa (wojskowa), żołnierze rezerwy wojskowej",15467,militaire de réserve,15467,guardia de reserva militar,15467,serviço de reserva militar,15467,servizio militare obbligatorio,15467,militærtjeneste
15468,milk,YELLOW,(drink + life: drink that sustains life),15468,YELLOW,(drink + life: drink that sustains life),mjölk,15468,melk,15468,maito,15468,tej,15468,Milch,15468,melk,15468,melk,15468,молоко,15468,piens,15468,mleko,15468,lait,15468,leche,15468,leite,15468,latte,15468,mælk
15469,milkman,BLUE,(person + milk),15469,BLUE,(person + milk),mjölkbud,15469,melkekjører,15469,maitomies,15469,tejesember,15469,Milchmann,15469,melkboer,15469,melkman,15469,молочник,15469,piena pārdevējs,15469,mleczarz,15469,laitier,15469,lechero,15469,leiteiro,15469,lattaio,15469,mælkemand
15470,milkshake_(OLD),YELLOW,(milk + to shake),15470,YELLOW,(milk + to shake),"milkshake, mjölkdrink",15470,milkshake,15470,pirtelö,15470,"tejes turmix, shake",15470,"Milchmixgetränk, Milchshake",15470,milkshake,15470,melkskommel,15470,молочный коктейль,15470,piena kokteilis,15470,shake (napój mleczny),15470,milkshake,15470,batido de leche,15470,batido,15470,"frullato, frappè",15470,"milkshake, vanille-milkshake"
15471,"mind,intellect,reason",YELLOW,(symbol suggests an outline of a skull)  - Character,15471,YELLOW,(symbol suggests an outline of a skull)  - Character,"förstånd, tankar",15471,"forstand, sinn, tanke",15471,"mieli, järki",15471,"ész, értelem, szellem, intellektus",15471,"Verstand, Intellekt, Vernunft",15471,verstand,15471,"verstand, rede, intellek",15471,"ум, разум",15471,"prāts, intelekts, spriestspēja",15471,"umysł, rozum, intelekt",15471,esprit,15471,"mente, intelecto, razón",15471,importar-se,15471,mente,15471,"forstand, sind"
15472,mine,YELLOW,(mountain + dot: dot locates the position of a mine deep within the mountain)  - Character (superimposed),15472,YELLOW,(mountain + dot: dot locates the position of a mine deep within the mountain)  - Character (superimposed),gruva,15472,gruve,15472,kaivos,15472,bánya,15472,Bergwerk,15472,mijn (kolen of erts),15472,myn,15472,"рудник, копь, шахта",15472,raktuves,15472,kopalnia,15472,mine,15472,mina,15472,mineiro,15472,mio,15472,"mine, grube"
15473,"minister,pastor,preacher,priest,rabbi",BLUE,(person + to teach + God: person who gives us knowledge about God),15473,BLUE,(person + to teach + God: person who gives us knowledge about God),"präst, pastor",15473,"prest, pastor",15473,pappi,15473,"lelkész, lelkipásztor, pap, prédikátor, rabbi",15473,"Pfarrer, Pfarrerin, Priester, Priesterin",15473,"rabbijn, pastoor, priester, dominee",15473,"pastoor, dominee, priester, rabbi",15473,"священник, проповедник",15473,"priesteris, mācītājs, garīdznieks, rabīns",15473,"ksiądz, pastor, kaznodzieja, kapłan",15473,"ministre du culte, pasteur, prêtre, rabin, imam",15473,"pastor, predicador, sacerdote, rabino",15473,padre,15473,prete,15473,"præst, rabbiner"
15474,"minus,no,without",WHITE,"(subtraction [half-sized]: the small meaning of subtraction. The symbol is used before another symbol to create a  negative meaning, e.g. (minus + sound) to represent silence.)  - Character",15474,WHITE,"(subtraction [half-sized]: the small meaning of subtraction. The symbol is used before another symbol to create a  negative meaning, e.g. (minus + sound) to represent silence.)  - Character","utan, minus",15474,"uten, foruten, minus",15474,"miinus, ilman, paitsi, pois",15474,"nélkül, mínusz, hiánya valaminek",15474,"kein, ohne",15474,"zonder, min",15474,"sonder, minus, daarsonder",15474,"минус, без",15474,"mīnus, bez",15474,"minus, brak, nie",15474,moins (signe),15474,"menos, sin",15474,menos,15474,"meno, senza",15474,"minus, uden"
15475,minute,YELLOW,"(time + apostrophe, used in astronomy to indicate a minute)",15475,YELLOW,"(time + apostrophe, used in astronomy to indicate a minute)",minut,15475,minutt,15475,minuutti,15475,perc,15475,Minute,15475,minuut,15475,minuut,15475,минута,15475,minūte,15475,minuta,15475,minute,15475,minuto,15475,minuto,15475,minuto,15475,minut
15476,arrow_(bent),YELLOW,(pictograph: arrow bent into another direction as if reflected)  - Character,15476,YELLOW,(pictograph: arrow bent into another direction as if reflected)  - Character,"pil (böjd), reflex",15476,pil (bøyd),15476,"nuoli (taipunut), nuoli (taittunut)",15476,hajlított nyíl,15476,gebeugter Pfeil,15476,pijl (terugkerend),15476,pyl gebuig,15476,рефлекс,15476,bulta (saliekta),15476,strzałka (zagięta),15476,flèche (réflexion),15476,flecha (doblada),15476,reflexo,15476,riflessione,15476,
15477,"miscarriage,abortion_(spontaneous)",YELLOW,"(miscarriage,abortion_(general) + woman: cancelled human pregnancy due to the natural death of an embryo)",15477,YELLOW,"(miscarriage,abortion_(general) + woman: cancelled human pregnancy due to the natural death of an embryo)",missfall,15477,spontanabort,15477,"keskenmeno, abortti",15477,"művi vetélés, művi abortusz",15477,Fehlgeburt,15477,miskraam,15477,miskraam,15477,выкидыш,15477,spontānais aborts,15477,poronienie,15477,fausse-couche,15477,aborto involuntario,15477,aborto espontâneo,15477,aborto spontaneo,15477,abort
15478,"miss,lose-(to)",RED,(loss + action indicator),15478,RED,(loss + action indicator),sakna,15478,savne,15478,"kaivata, tuntea puutetta",15478,"hiányolni, hiányozni, elveszíteni",15478,vermissen,15478,missen (iemand),15478,"mis, verloor (persoon) (om te)",15478,скучать,15478,"trūkt, skumt pēc kaut kā, kāda",15478,"utracić, odczuwać brak (czegoś lub kogoś)",15478,manquer (ressentir l'absence),15478,echar de menos,15478,sentir a falta de alguém,15478,"mancare, sentire la mancanza",15478,"savner, savne"
15479,"mistake,error,fault",YELLOW,(action + incorrect),15479,YELLOW,(action + incorrect),"fel, misstag",15479,"feil, feiltakelse",15479,erehdys,15479,"hiba, tévedés, botlás",15479,Fehler,15479,fout,15479,fout,15479,ошибка,15479,kļūda,15479,"błąd, pomyłka",15479,"erreur, faute, méprise",15479,error,15479,erro,15479,"sbaglio, errore",15479,fejl
15480,"mite,tick",YELLOW,(spider + little: tiny spider-like insect),15480,YELLOW,(spider + little: tiny spider-like insect),"fästing, kvalster (etc)",15480,midd,15480,punkki,15480,"atka, kullancs",15480,"Zecke, Milbe",15480,"mijt (insect), teek",15480,"myt, bosluis (insek)",15480,клещ,15480,"atzīmīte, ķeksītis",15480,"kleszcz, roztocze (mały, ssący robak)",15480,"mite, tique",15480,"ácaro, garrapata",15480,ácaro,15480,acaro,15480,mide
15481,"mix,blend-(to)",RED,(mixture + action indicator),15481,RED,(mixture + action indicator),blanda,15481,blande,15481,"sekoittaa, sekoittua",15481,"keverni, keveredni, összekeverni, vegyülni",15481,"mischen, verrühren, mixen",15481,"mengen, mixen",15481,meng (om te),15481,смешивать,15481,"jaukt, sajaukt, sablendēt",15481,mieszać,15481,mélanger,15481,mezclar,15481,misturar,15481,mescolare,15481,"blander, blende"
15482,"recreation_room,moadan",YELLOW,(room + happiness: room for social gatherings) (Israel),15482,YELLOW,(room + happiness: room for social gatherings) (Israel),sällskapsrum,15482,rekreasjonsrom,15482,leikkihuone,15482,rekreációs helyiség,15482,"Gemeinschaftsraum, Freizeitraum",15482,recreatieruimte,15482,ontspannings vertrek ruimte,15482,комната отдыха,15482,"atpūtas, rekreācijas telpa",15482,pokój rekreacyjny,15482,salle de récréation,15482,salón recreativo,15482,sala de jogos,15482,"sala giochi, sala ricreazione",15482,
